index,comment,n_star,date_time,label,clean_comment,GENERAL,SCREEN,CAMERA,FEATURES,BATTERY,PERFORMANCE,STORAGE,DESIGN,PRICE,SER&ACC
208,"sản phẩm sử dụng tốt, cấu hình cao và chạy ổn định. Chế độ bảo hành tốt, rất hài lòng",5,3/11/2018,{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,sản phẩm sử dụng tốt cấu hình cao và chạy ổn định chế độ bảo hành tốt rất hài lòng,positive,none,none,none,none,positive,none,none,none,positive
209,"Mình thấy chip 865 có 1 chip xung nhịp 2,84 trong đó chip 855+ có 1 chip xung nhịp 2,94 lận thì sự khác biệt giữa 2 chip này là gì vậy tại sao chip mới hơn lại có xung nhịp thấp hơn nhỉ",5,6/4/2020,{OTHERS};,mình thấy chip 865 có 1 chip xung nhịp 2 84 trong đó chip 855 có 1 chip xung nhịp 2 94 lận thì sự khác biệt giữa 2 chip này là gì vậy tại sao chip mới hơn lại có xung nhịp thấp hơn nhỉ,none,none,none,none,none,none,none,none,none,none
210,"Pin quảng cáo pin trâu mà nhanh hết
Cảm biến vân tay quá tệ, dở hơn các đời máy cũ nhiều.
Không xứng đáng với giá tầm trung là hơn 9tr",2,14/09/2019,{FEATURES#Negative};{BATTERY#Negative};{PRICE#Neutral};{GENERAL#Negative};,pin quảng cáo pin trâu mà nhanh hết cảm biến vân tay quá tệ dở hơn các đời máy cũ nhiều không xứng đáng với giá tầm trung là hơn 9tr,negative,none,none,negative,negative,none,none,none,neutral,none
211,"Pin trâu chiến game mượt liên tục đc khoảng 6-7h, chụp hình khá đẹp tuy cũng có k vừa ý nhưng trong tầm giá này là tốt ^^ nếu k chơi game nhiều chỉ nt chụp ảnh và có tg nghĩ máy trì đc gần 12h nói chung là rất hài lòng với sp",5,31/07/2019,{CAMERA#Positive};{BATTERY#Positive};{GENERAL#Positive};,pin trâu chiến game mượt liên tục được khoảng 6 7h chụp hình khá đẹp tuy cũng có không vừa ý nhưng trong tầm giá này là tốt nếu không chơi game nhiều chỉ nt chụp ảnh và có tg nghĩ máy trì được gần 12h nói chung là rất hài lòng với sản phẩm,positive,none,positive,none,positive,none,none,none,none,none
212,Điện thoại bây giờ rẻ hé. Con smart phone đầu tiên tui dùng là 2tr. Cách đây 5 năm. Nó có thông số tạm có thể coi là ngang vs con này. Nhưng nếu so ra con đó còn thua con này xíu. Mà 2tr thời đó như bánh xe bò chứ ko phải như hiện tại. Con này thích hợp làm con sơ cua. Sài khi hết pin điện thoại chính. Dùng nhắn tin. Nghe truyện ma. V.v...v,5,30/05/2020,{PRICE#Positive};{OTHERS};,điện thoại bây giờ rẻ hé con smart phone đầu tiên tui dùng là 2tr cách đây 5 năm nó có thông số tạm có thể coi là ngang với con này nhưng nếu so ra con đó còn thua con này xíu mà 2tr thời đó như bánh xe bò chứ không phải như hiện tại con này thích hợp làm con sơ cua xài khi hết pin điện thoại chính dùng nhắn tin nghe truyện ma v v v,none,none,none,none,none,none,none,none,positive,none
213,"Ms mua con note 10 lite,giờ sạc k vào luôn,k pk la bán máy cho khách cũ hay mới nữa,tệ thật,làn ăn kiểu gì k pk,giờ đem lên k pk cho đổi hay trả k pk,buôn bán k khác lừa đảo,máy tệ",1,23/07/2020,{BATTERY#Negative};{GENERAL#Negative};{SER&ACC#Negative};,ms mua con note 10 lite giờ sạc không vào luôn không pk la bán máy cho khách cũ hay mới nữa tệ thật làn ăn kiểu gì không pk giờ đem lên không pk cho đổi hay trả không pk buôn bán không khác lừa đảo máy tệ,negative,none,none,none,negative,none,none,none,none,negative
214,"Ngoại hình đẹp, nói về cảm biến vân tay thì khi dùng lâu lâu bị không khớp nhưng ok",4,22/03/2020,{FEATURES#Neutral};{DESIGN#Positive};,ngoại hình đẹp nói về cảm biến vân tay thì khi dùng lâu lâu bị không khớp nhưng ok,none,none,none,neutral,none,none,none,positive,none,none
215,"Màn hình xem phim khá đẹp nhỏ gọn 
Camera sau đẹp camera trc hơi mờ tí pin trâu 
Mới mua hôm qua thấy chơi game lâu lâu lag tí nhưng cập nhật phần mềm x thì k còn nữa khá mượt 😀",5,4/6/2020,{SCREEN#Positive};{CAMERA#Neutral};{BATTERY#Positive};{PERFORMANCE#Neutral};,màn hình xem phim khá đẹp nhỏ gọn camera sau đẹp camera trc hơi mờ tí pin trâu mới mua hôm qua thấy chơi game lâu lâu lag tí nhưng cập nhật phần mềm x thì không còn nữa khá mượt tốt,none,positive,neutral,none,positive,neutral,none,none,none,none
216,Máy dùng mượt.chỉ tôi ng hết pin .xem phim chỉ dùng dc 3.4 tieg là là pin.mang tiếng pin 4500,2,13/04/2020,{BATTERY#Negative};{PERFORMANCE#Positive};,máy dùng mượt chỉ tôi ng hết pin xem phim chỉ dùng được 3 4 tieg là là pin mang tiếng pin 4500,none,none,none,none,negative,positive,none,none,none,none
217,"Máy xịn , sử dụng chíp sn855 quá đỉnh , màn hình đẹp , chụp ảnh thật , chơi game trên con này bao đã",5,4/3/2020,{SCREEN#Positive};{CAMERA#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,máy xịn sử dụng chíp sn855 quá đỉnh màn hình đẹp chụp ảnh thật chơi game trên con này bao đã,positive,positive,positive,none,none,positive,none,none,none,none
218,mình là khách hàng của quen với tgdd được 8 năm nay rồi nhưng mình chưa bao giờ gặp phải trường hợp máy tự dưng hỏng came và đèn falas ntn,1,3 tuần trước,{CAMERA#Negative};{FEATURES#Negative};,mình là khách hàng của quen với tgdd được 8 năm nay rồi nhưng mình chưa bao giờ gặp phải trường hợp máy tự dưng hỏng came và đèn falas ntn,none,none,negative,negative,none,none,none,none,none,none
219,Nhân viên tgdd có quá lừa hơi đau đấy.nói là máy này chơi mượt lắm cuối cùng thì hazzz 6g mà cứ tưởng 2g chán.,2,22/07/2020,{PERFORMANCE#Negative};{SER&ACC#Negative};,nhân viên tgdd có quá lừa hơi đau đấy nói là máy này chơi mượt lắm cuối cùng thì haz 6g mà cứ tưởng 2g chán,none,none,none,none,none,negative,none,none,none,negative
220,"Sản phẩm tốt , phục vụ nhiệt tình . Nhân viên rất tốt  . Điện thoại lướt rất mượt mà . Đáng túi tiền",5,12/4/2020,{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,sản phẩm tốt phục vụ nhiệt tình nhân viên rất tốt điện thoại lướt rất mượt mà đáng túi tiền,positive,none,none,none,none,positive,none,none,positive,positive
221,"Tốt ở chỗ loa to rõ ko rè, màn hình dễ nhìn .",5,16/03/2019,{SCREEN#Positive};{FEATURES#Positive};,tốt ở chỗ loa to rõ không rè màn hình dễ nhìn,none,positive,none,positive,none,none,none,none,none,none
222,e vừa mua Oppo a1k e muốn đổi cục sạc ạ sạc bị lỗi mong nhân viên tư vấn thêm ạ cảm ơn,5,10/1/2020,{SER&ACC#Negative};{OTHERS};,e vừa mua oppo a1k e muốn đổi cục sạc ạ sạc bị lỗi mong nhân viên tư vấn thêm ạ cảm ơn,none,none,none,none,none,none,none,none,none,negative
223,Không tốt chút nào mình mới mua về có bốn tháng lại hư hỏng bảo hành còn lại mất tiền các bạn nhớ cân nhắc khi mua Samsung galaxy a70 không đánh giá sao nào sạc thì cực nóng máy hỏng hóc thì lỗi thừa người dùng,5,19/11/2019,{BATTERY#Negative};{SER&ACC#Negative};{OTHERS};,không tốt chút nào mình mới mua về có bốn tháng lại hư hỏng bảo hành còn lại mất tiền các bạn nhớ cân nhắc khi mua samsung galaxy a70 không đánh giá sao nào sạc thì cực nóng máy hỏng hóc thì lỗi thừa người dùng,none,none,none,none,negative,none,none,none,none,negative
224,"Máy thiết kế đẹp,loa to rõ,chụp hình xoá phông đẹp,hệ điều hành IOS mượt mà,tuy nhiên máy dùng nhanh bị nóng,sạc pin tầm khoảng 3 tiếng hơn,mình ko chơi game,chủ yếu lướt web,Zalo,messenger,Facebook... thì thấy quá ổn với em này",3,8/9/2019,{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Neutral};{PERFORMANCE#Neutral};{DESIGN#Positive};{GENERAL#Positive};,máy thiết kế đẹp loa to rõ chụp hình xoá phông đẹp hệ điều hành ios mượt mà tuy nhiên máy dùng nhanh bị nóng sạc pin tầm khoảng 3 tiếng hơn mình không chơi game chủ yếu lướt web zalo messenger facebook thì thấy quá ổn với em này,positive,none,positive,positive,neutral,neutral,none,positive,none,none
225,"Vân tay cạnh viện không được tối ưu tốt
Màn hình nhìn nghiêng sẽ thấy bị nhoè bóng đen
Camera chụp hình dở thật, bị vỡ điểm ảnh, chụp ban đêm rất tệ luôn
Thời Lượng Pin không được như quảng cáo
Máy không tối ưu tốt cho các ứng dụng
Và còn nhiều lỗi vặt khác...
Tầm giá này thật sự không đòi hỏi được gì nhiều!
Mong bản cập nhật tới sẽ tốt hơn!",3,15/04/2020,{SCREEN#Negative};{CAMERA#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{DESIGN#Negative};{PRICE#Neutral};{GENERAL#Negative};{OTHERS};,vân tay cạnh viện không được tối ưu tốt màn hình nhìn nghiêng sẽ thấy bị nhoè bóng đen camera chụp hình dở thật bị vỡ điểm ảnh chụp ban đêm rất tệ luôn thời lượng pin không được như quảng cáo máy không tối ưu tốt cho các ứng dụng và còn nhiều lỗi vặt khác tầm giá này thật sự không đòi hỏi được gì nhiều mong bản cập nhật tới sẽ tốt hơn,negative,negative,negative,none,negative,negative,none,negative,neutral,none
226,"Máy tốt mới mua sử dụng rất tốt pin khoẻ,một sp giá tầm tru g thật tuyệt với
Love",5,21/04/2020,{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};,máy tốt mới mua sử dụng rất tốt pin khoẻ một sản phẩm giá tầm tru g thật tuyệt với love,positive,none,none,none,positive,none,none,none,neutral,none
227,Mọi thứ đều tốt trừ cái quảng cáo quá nhiều cần khắc phục  mọi thứ máy đều ổn mk mới mua máy cảm nhận vậy,3,31/05/2020,{PERFORMANCE#Negative};{GENERAL#Positive};{OTHERS};,mọi thứ đều tốt trừ cái quảng cáo quá nhiều cần khắc phục mọi thứ máy đều ổn mình mới mua máy cảm nhận vậy,positive,none,none,none,none,negative,none,none,none,none
228,"Sáng qua, mình ghé TTDD ngã 4 Âu Cơ, chị Anh và bạn Khoa ở đây rất nhiệt tình, đáng yêu! Mình đã xài dt dc 1 ngày, pin khủng, màn hình đẹp tràn viên, bộ nhớ hơn 22 GB, mượt, vỏ dt cực đẹp dc tặng tai nghe bluetooth 450k, kèm ốp lưng! Nói chung mình ưng ý và sẽ ủng hộ TGDD thêm nhiều!",5,4/3/2019,{SCREEN#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{STORAGE#Positive};{DESIGN#Positive};{GENERAL#Positive};{SER&ACC#Positive};,sáng qua mình ghé ttdd ngã 4 âu cơ chị anh và bạn khoa ở đây rất nhiệt tình đáng yêu mình đã xài điện thoại được 1 ngày pin khủng màn hình đẹp tràn viên bộ nhớ hơn 22 gb mượt vỏ điện thoại cực đẹp được tặng tai nghe bluetooth 450k kèm ốp lưng nói chung mình ưng ý và sẽ ủng hộ tgdd thêm nhiều,positive,positive,none,none,positive,positive,positive,positive,none,positive
229,"Thiết kế đẹp, cảm ứng nhạy, chụp ảnh đẹp, mượt, Nhiều tính năng nhỏ cực hay chưa test thử game nặng nên chưa biết thế nào, có điều rung rất nhẹ. nhân viên nhiệt tình dễ thuơng.",5,2/1/2020,{CAMERA#Positive};{FEATURES#Positive};{DESIGN#Positive};{SER&ACC#Positive};,thiết kế đẹp cảm ứng nhạy chụp ảnh đẹp mượt nhiều tính năng nhỏ cực hay chưa test thử game nặng nên chưa biết thế nào có điều rung rất nhẹ nhân viên nhiệt tình dễ thuơng,none,none,positive,positive,none,none,none,positive,none,positive
230,Máy đẹp giá tốt . 4 camera ưng với tầm giá này sản phẩm dáng mua ... Kết cấu đep . chính sách bh tốt,5,15/08/2020,{CAMERA#Positive};{DESIGN#Positive};{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,máy đẹp giá tốt 4 camera ưng với tầm giá này sản phẩm dáng mua kết cấu đep chính sách bh tốt,positive,none,positive,none,none,none,none,positive,positive,positive
231,"Chuẩn bị mua mà thấy chê nhiều quá , giờ ko bit sao, nghe noiz oppo chụp ảnh đẹp, vào thấy bl chê nhiều, pin mau tụt là đúng vì màn hinh , nhưng củng dùng tầm 8h, mn ai bit rỏ về oppo a92 cho mjk ý kiến , cam on",5,4 tuần trước,{OTHERS};,chuẩn bị mua mà thấy chê nhiều quá giờ không bit sao nghe noiz oppo chụp ảnh đẹp vào thấy bl chê nhiều pin mau tụt là đúng vì màn hinh nhưng củng dùng tầm 8h mọi người ai bit rỏ về oppo a92 cho mjk ý kiến cam on,none,none,none,none,none,none,none,none,none,none
232,"Thất vọng về a12 này lắm.
Thấy xài còn thúa a5 s.dòng Oppo a12.hình như bị lỗi hay sao ý.xài chân lắm",1,8/7/2020,{PRICE#Negative};{GENERAL#Negative};{SER&ACC#Negative};,thất vọng về a12 này lắm thấy xài còn thúa a5 s dòng oppo a12 hình như bị lỗi hay sao ý xài chân lắm,negative,none,none,none,none,none,none,none,negative,negative
233,"Tải ảnh lên FB thì bị mờ và bị vỡ hình là sao ak,....hay do mạng yếu ak...cho ý kiến ak",3,21/02/2020,{FEATURES#Negative};{OTHERS};,tải ảnh lên fb thì bị mờ và bị vỡ hình là sao ak hay do mạng yếu ak cho ý kiến ak,none,none,none,negative,none,none,none,none,none,none
234,"Pin trâu dùng thông thường khoảng 15h
Sạc khoảng 120'
Màn hình lớn, sắc nét
Bắt sóng mạnh
Vân tay rất nhạy
Nhân viên phục vụ nhiệt tình chu đáo",5,13/02/2020,{SCREEN#Positive};{FEATURES#Positive};{BATTERY#Positive};{SER&ACC#Positive};,pin trâu dùng thông thường khoảng 15h sạc khoảng 120 màn hình lớn sắc nét bắt sóng mạnh vân tay rất nhạy nhân viên phục vụ nhiệt tình chu đáo,none,positive,none,positive,positive,none,none,none,none,positive
235,"Nhạc chuông quá nhỏ mở nhạc nghe thì đứng máy ,tắt nguồn mở lên Sài mới được ức chế lắm ...",1,24/07/2019,{FEATURES#Negative};{PERFORMANCE#Negative};,nhạc chuông quá nhỏ mở nhạc nghe thì đứng máy tắt nguồn mở lên xài mới được ức chế lắm,none,none,none,negative,none,negative,none,none,none,none
236,Sản phẩm tốt chơi game hơi lag tí được cái pin trâu. Sạc hơi lâu 1 tí với ko có ốp đi kèm,5,17/03/2020,{BATTERY#Neutral};{PERFORMANCE#Negative};{GENERAL#Positive};{SER&ACC#Negative};,sản phẩm tốt chơi game hơi lag tí được cái pin trâu sạc hơi lâu 1 tí với không có ốp đi kèm,positive,none,none,none,neutral,negative,none,none,none,negative
237,pin sạc lâu. hết nhanh. mua đc 3 hôm đã hỏng sạc. chơi game k mượt. máy nóng nhanh. nói chung k thích bằng oppo,3,12/10/2019,{BATTERY#Negative};{PERFORMANCE#Negative};{SER&ACC#Negative};,pin sạc lâu hết nhanh mua được 3 hôm đã hỏng sạc chơi game không mượt máy nóng nhanh nói chung không thích bằng oppo,none,none,none,none,negative,negative,none,none,none,negative
238,Sao máy thỉnh thoảng không hiểu sim. Không biết có sao không. Mọi thứ còn lại đều ổn,3,21/06/2020,{FEATURES#Negative};{GENERAL#Positive};{OTHERS};,sao máy thỉnh thoảng không hiểu sim không biết có sao không mọi thứ còn lại đều ổn,positive,none,none,negative,none,none,none,none,none,none
239,"Mới mua đc 20 ngày máy dùng tệ quá wifi kém mất sóng liên tục đang chơi game mất kết nối liên tục ,chán",3,1/9/2019,{FEATURES#Negative};{GENERAL#Negative};,mới mua được 20 ngày máy dùng tệ quá wifi kém mất sóng liên tục đang chơi game mất kết nối liên tục chán,negative,none,none,negative,none,none,none,none,none,none
240,3g với wifi yếu thì khổi bàng..mọi thứ còn lại rất ok..máy chưa sài dc 2 tháng các bác ạ,1,1/3/2020,{FEATURES#Negative};{GENERAL#Positive};{OTHERS};,3g với wifi yếu thì khổi bàng mọi thứ còn lại rất ok máy chưa xài được 2 tháng các bác ạ,positive,none,none,negative,none,none,none,none,none,none
241,"Sản phẩm này quá tốt. Mạng 3-4G cực khỏe, pin cực trâu bò, wifi căng đét... chơi game không có hiện tượng lang giật...",5,8/3/2020,{FEATURES#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,sản phẩm này quá tốt mạng 3 4g cực khỏe pin cực trâu bò wifi căng đét chơi game không có hiện tượng lang giật,positive,none,none,positive,positive,positive,none,none,none,none
242,Vừa mua về dùng thấy đc đến sáng tự nhiên vào youtube thì đơ cảm ứng k dùng dc và bị out ra phải tật nguồn khởi động lại ms đc chán lun,1,26/08/2019,{FEATURES#Negative};{PERFORMANCE#Negative};,vừa mua về dùng thấy được đến sáng tự nhiên vào youtube thì đơ cảm ứng không dùng được và bị out ra phải tật nguồn khởi động lại ms được chán lun,none,none,none,negative,none,negative,none,none,none,none
243,Mới mua hôm thứ 7 thấy nhân viên nhiệt tình lắm với máy xài ổn.mượt tiếc là pin xài nhanh hết dùng dc trong 1 ngày thôi,5,5/1/2020,{BATTERY#Negative};{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,mới mua hôm thứ 7 thấy nhân viên nhiệt tình lắm với máy xài ổn mượt tiếc là pin xài nhanh hết dùng được trong 1 ngày thôi,positive,none,none,none,negative,positive,none,none,none,positive
244,"máy bắt sóng wifi mạnh, face+messen dùng chung được. youtube xem ngon lành tiếc không tải được zalo, nhân viên nhiệt tình.",5,4 tuần trước,{FEATURES#Positive};{PERFORMANCE#Neutral};{SER&ACC#Positive};,máy bắt sóng wifi mạnh face messen dùng chung được youtube xem ngon lành tiếc không tải được zalo nhân viên nhiệt tình,none,none,none,positive,none,neutral,none,none,none,positive
245,"Chụp hình đẹp, máy nhanh, mua ngay đợt giảm giá nên cảm thấy xứng đáng hơn rất nhiều",5,2/7/2020,{CAMERA#Positive};{PERFORMANCE#Positive};{PRICE#Positive};,chụp hình đẹp máy nhanh mua ngay đợt giảm giá nên cảm thấy xứng đáng hơn rất nhiều,none,none,positive,none,none,positive,none,none,positive,none
246,Mỗi người có suy nghĩ khác nhau nhưng cá nhân của mình thấy dòng máy huawei 30 lite này là tuyệt vời so với giá 7 triệu rưỡi còn máy Samsung a50 a70 nó chỉ đắt về thương hiệu thui chứ còn dùng máy chán lắm ko bằng huawei được,4,22/04/2019,{PRICE#Neutral};{GENERAL#Positive};{OTHERS};,mỗi người có suy nghĩ khác nhau nhưng cá nhân của mình thấy dòng máy huawei 30 lite này là tuyệt vời so với giá 7 triệu rưỡi còn máy samsung a50 a70 nó chỉ đắt về thương hiệu thui chứ còn dùng máy chán lắm không bằng huawei được,positive,none,none,none,none,none,none,none,neutral,none
247,Tôi mua ngay 15.2.20 thấy sợ có pin rất tốt . Vào mạng OK . Tải Mail chạy rất nhanh. Chụp ảnh ở chế độ chuyên nghiệp chấp nhận được. Gia tốt,5,22/02/2020,{CAMERA#Neutral};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Positive};,tôi mua ngay 15 2 20 thấy sợ có pin rất tốt vào mạng ok tải mail chạy rất nhanh chụp ảnh ở chế độ chuyên nghiệp chấp nhận được gia tốt,none,none,neutral,positive,positive,none,none,none,positive,none
248,"Lỗi thẻ sim dùng 4g bị ko dịch vụ, tự sập nguồn sạc ko vào pin. Hơi thất vọng điện thoại này",1,13/05/2020,{FEATURES#Negative};{BATTERY#Negative};{GENERAL#Negative};,lỗi thẻ sim dùng 4g bị không dịch vụ tự sập nguồn sạc không vào pin hơi thất vọng điện thoại này,negative,none,none,negative,negative,none,none,none,none,none
249,Máy lâu lâu bị rung bất chợt.Có phải do phần cứng không vậy?.... . Pin tạm ổn . ......,2,4/5/2020,{FEATURES#Negative};{BATTERY#Neutral};,máy lâu lâu bị rung bất chợt có phải do phần cứng không vậy pin tạm ổn,none,none,none,negative,neutral,none,none,none,none,none
250,"ChấT lượng sản phảm tuyệt vời, chế độ bảo hành tốt, nhân viên phục vụ chu đáo tận tình",5,23/07/2018,{GENERAL#Positive};{SER&ACC#Positive};,chất lượng sản phảm tuyệt vời chế độ bảo hành tốt nhân viên phục vụ chu đáo tận tình,positive,none,none,none,none,none,none,none,none,positive
251,"máy sử dụng rất mượt, chơi game rất đỉnh rất nhanh không bị lag, chụp hình xóa phông rât thích",5,30/08/2018,{CAMERA#Positive};{PERFORMANCE#Positive};,máy sử dụng rất mượt chơi game rất đỉnh rất nhanh không bị lag chụp hình xóa phông rât thích,none,none,positive,none,none,positive,none,none,none,none
252,"Điện Máy Xanh là nơi mua hàng được nhiều người ưa chuộng , sao ĐMX không bán như Máy Ảnh hay Gopro ... Có một số nơi bán về điện thoại cũng như các máy ảnh hoặc gopro .
Mong ĐMX nhập mặt hàng như Máy Ảnh , Gopro 
Đặc biệt GOPRO là đc nhiều người ưa chuộng như làm youtube , hành trình",5,1/7/2020,{OTHERS};,điện máy xanh là nơi mua hàng được nhiều người ưa chuộng sao đmx không bán như máy ảnh hay gopro có một số nơi bán về điện thoại cũng như các máy ảnh hoặc gopro mong đmx nhập mặt hàng như máy ảnh gopro đặc biệt gopro là được nhiều người ưa chuộng như làm youtube hành trình,none,none,none,none,none,none,none,none,none,none
253,"Mới vừa mua, cảm giác đầu tiên là mượt, vừa tay. Nhân viên Hưng ở 1306 tỉnh lộ 10 tư vấn nhiệt tình. Rất ô",5,2 tuần trước,{PERFORMANCE#Positive};{DESIGN#Positive};{SER&ACC#Positive};,mới vừa mua cảm giác đầu tiên là mượt vừa tay nhân viên hưng ở 1306 tỉnh lộ 10 tư vấn nhiệt tình rất ô,none,none,none,none,none,positive,none,positive,none,positive
254,"Samsung A51 sài mạng chậm chạp tức 7 sắc cầu vòng lun vậy đó, Bluetooth thì chập chờn,...",3,19/01/2020,{FEATURES#Negative};,samsung a51 xài mạng chậm chạp tức 7 sắc cầu vòng lun vậy đó bluetooth thì chập chờn,none,none,none,negative,none,none,none,none,none,none
255,Máy đẹp pin trâu ram và rom cực cao luông!!! Trong tầm giá này mà sở hữu đc ẻm thì quá nhĩnh hơn những sản phẩm khác rồi nhé!!! Khi xài rồi mới cảm nhận đc máy ok ntn nhé!!! 👍,5,18/11/2019,{BATTERY#Positive};{PERFORMANCE#Positive};{STORAGE#Positive};{DESIGN#Positive};{PRICE#Neutral};{GENERAL#Positive};{OTHERS};,máy đẹp pin trâu ram và rom cực cao luông trong tầm giá này mà sở hữu được ẻm thì quá nhĩnh hơn những sản phẩm khác rồi nhé khi xài rồi mới cảm nhận được máy ok ntn nhé tốt,positive,none,none,none,positive,positive,positive,positive,neutral,none
256,"Máy gì mà chậm với nóng bực cả mình, pin thì dùng tí đã hết..........................vv",1,2/3/2020,{BATTERY#Negative};{PERFORMANCE#Negative};,máy gì mà chậm với nóng bực cả mình pin thì dùng tí đã hết vv,none,none,none,none,negative,negative,none,none,none,none
257,"Mới sử sụng 1 ngày thấy pin sụp khá nhanh, cảm biến vân tay loát chậm , chơi game cũng bình thường không nhạy lắm, bắt sóng yếu , điện thoại khác bắt wifi đầy luôn mà a51 bắt có 2 vạch , dùng khá là thất vọng, chụp ảnh ins còn lag lag giật giật nữa , nảnnnn",3,16/08/2020,{FEATURES#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,mới sử sụng 1 ngày thấy pin sụp khá nhanh cảm biến vân tay loát chậm chơi game cũng bình thường không nhạy lắm bắt sóng yếu điện thoại khác bắt wifi đầy luôn mà a51 bắt có 2 vạch dùng khá là thất vọng chụp ảnh ins còn lag lag giật giật nữa nản,negative,none,none,negative,negative,negative,none,none,none,none
258,Mjh mua cánh đây hai tuần chơi game Call of Duty chơi  rất ức chế rồi mjh ra đổi lại cái mới mà tệ hơn cái cũ nữa ae nào đg chơi game này thì cân nhắc nha,2,23/05/2020,{PERFORMANCE#Negative};{GENERAL#Negative};,mjh mua cánh đây hai tuần chơi game call of duty chơi rất ức chế rồi mjh ra đổi lại cái mới mà tệ hơn cái cũ nữa ae nào đg chơi game này thì cân nhắc nha,negative,none,none,none,none,negative,none,none,none,none
259,Dùng rất bức mình dùng nó cứ Quang Cao tum lum đang để máy không dùng nó cũng Quang cáo sáng lên loạn cảm ứng không biết bên Oppo có khác phục được k chứ ban kiểu này làm mất người dùng đánh giá thấp về oppo,1,7/1/2020,{FEATURES#Negative};{PERFORMANCE#Negative};{SER&ACC#Negative};,dùng rất bức mình dùng nó cứ quang cao tum lum đang để máy không dùng nó cũng quang cáo sáng lên loạn cảm ứng không biết bên oppo có khác phục được không chứ ban kiểu này làm mất người dùng đánh giá thấp về oppo,none,none,none,negative,none,negative,none,none,none,negative
260,ĐT j sắc 4h mà mọi dc 80%.bạn ĐT mà ko bạn ốp lưng.chụp hình cầm trước thì như xác chết trôi sông,4,8/5/2020,{CAMERA#Negative};{BATTERY#Negative};{SER&ACC#Negative};,điện thoại gì sắc 4h mà mọi được 80 bạn điện thoại mà không bạn ốp lưng chụp hình cầm trước thì như xác chết trôi sông,none,none,negative,none,negative,none,none,none,none,negative
261,Quá thất vọnh về sp này mua máy được 3 ngày lỗi đủ kiểu vân tay ko sử dụng được nhận diện khuôn mặt cũng không máy bị đứng và văng ứng dụng,1,2/6/2020,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,quá thất vọnh về sản phẩm này mua máy được 3 ngày lỗi đủ kiểu vân tay không sử dụng được nhận diện khuôn mặt cũng không máy bị đứng và văng ứng dụng,negative,none,none,negative,none,negative,none,none,none,none
262,"Sau khi sử dụng được 1 ngày, tôi cảm thấy đt khá ok. Đt có thiết kế đẹp, chơi game rất mượt, cam tạm ổn. Quá ok với mức giá vừa phải. Quan trọng là đt do VN sản xuất. 5 sao!!!",5,3/8/2020,{CAMERA#Neutral};{PERFORMANCE#Positive};{DESIGN#Positive};{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,sau khi sử dụng được 1 ngày tôi cảm thấy điện thoại khá ok điện thoại có thiết kế đẹp chơi game rất mượt cam tạm ổn quá ok với mức giá vừa phải quan trọng là điện thoại do vn sản xuất 5 sao,positive,none,neutral,none,none,positive,none,positive,positive,positive
263,mình mới mua mày xiaomi redmi note 7 hôm qua ở tgdd đà lạt nhân viên nhiệt tình máy ok trong tầm giá có điều pin hơi tụt thôi chơi game tốt,5,1/6/2019,{BATTERY#Negative};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,mình mới mua mày xiaomi redmi note 7 hôm qua ở tgdd đà lạt nhân viên nhiệt tình máy ok trong tầm giá có điều pin hơi tụt thôi chơi game tốt,positive,none,none,none,negative,positive,none,none,neutral,positive
264,"Mới vừa mua hồi chiều qua chưa trải nghiệm hết chức năng máy, nhưng thấy OK lắm và anh nhân viên ở tgdd rất nhiệt tình vui vẻ",5,15/12/2019,{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,mới vừa mua hồi chiều qua chưa trải nghiệm hết chức năng máy nhưng thấy ok lắm và anh nhân viên ở tgdd rất nhiệt tình vui vẻ,positive,none,none,none,none,none,none,none,none,positive
